iteration,response,type
1,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 또한, 성과에 대한 피검사자의 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
2,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
3,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
4,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
5,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
6,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하여 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
7,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 또한, 성과에 대한 피검사자의 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
8,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 또한, 성과에 대한 피검사자의 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
9,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하여 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 성과에 대한 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
10,"기업은 전문성, 성과, 사회공헌을 중요시하며, 피검사자는 창조, 열정, 혁신에 높은 가치를 두고 있습니다. 피검사자는 사회공헌에 대한 관심이 기업과 유사하며, 이는 긍정적으로 평가됩니다. 그러나 전문성에 대한 피검사자의 관심이 상대적으로 낮아 우려가 있을 수 있습니다. 또한, 성과에 대한 피검사자의 관심이 기업보다 낮지만, 창조와 열정에서 높은 점수를 보이며 기업에 추가적인 가치를 제공할 가능성이 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
1,"피검사자는 스피드형, 목표지향형, 도전형, 열린사고형에서 기업의 기대치를 충족하여 긍정적 평가를 받을 수 있습니다. 또한, 자기확신형에서 기업의 기대치를 초과하여 매우 긍정적 평가를 받을 수 있습니다. 반면, 책임형, 끈기형, 긍정형, 스마트형, 윤리형, 성취형, 솔선수범형, 몰입형, 신뢰형에서 기업의 기대치와 차이가 있습니다. 전반적으로 피검사자와 기업간 업무 성향 fit은 높은 편입니다.",workstyle
2,"피검사자는 스피드형, 목표지향형, 도전형, 열린사고형에서 기업의 기대치를 충족하여 긍정적 평가를 받을 수 있습니다. 또한, 자기확신형에서 기업의 기대치를 초과하여 매우 긍정적 평가를 받을 수 있습니다. 반면, 책임형, 끈기형, 긍정형, 스마트형, 윤리형, 성취형, 솔선수범형, 몰입형, 신뢰형에서 기업의 기대치와 차이가 있습니다. 전반적으로 피검사자와 기업간 업무 성향 fit은 높은 편입니다.",workstyle
3,"피검사자는 스피드형, 목표지향형, 도전형, 열린사고형에서 기업의 기대치를 충족하여 긍정적 평가를 받을 수 있습니다. 또한, 유니크형, 혁신형, 자기확신형에서 기업의 기대치를 초과하여 매우 긍정적 평가를 받을 수 있습니다. 반면, 책임형, 끈기형, 긍정형, 스마트형, 윤리형, 성취형, 솔선수범형, 몰입형, 신뢰형에 대해 기업의 기대치와 차이가 있습니다. 전반적으로 피검사자와 기업간 업무 성향 fit은 높은 편입니다.",workstyle
4,"피검사자는 스피드형, 목표지향형, 도전형, 열린사고형에서 기업의 기대치를 충족하여 긍정적 평가를 받을 수 있습니다. 또한, 자기확신형에서 기업의 기대치를 초과하여 매우 긍정적 평가를 받을 수 있습니다. 반면, 책임형, 끈기형, 긍정형, 스마트형, 윤리형, 성취형, 솔선수범형, 몰입형, 신뢰형에서 기업의 기대치와 차이가 있습니다. 전반적으로 피검사자와 기업간 업무 성향 fit은 높은 편입니다.",workstyle
5,"피검사자는 스피드형, 도전형, 열린사고형에서 기업의 기대치를 충족하여 긍정적 평가를 받을 수 있습니다. 또한, 목표지향형, 스마트형, 자기확신형에서 기업의 기대치를 초과하여 매우 긍정적 평가를 받을 수 있습니다. 반면, 책임형, 끈기형, 긍정형, 솔선수범형, 신뢰형에 대해 기업의 기대치와 차이가 있습니다. 전반적으로 피검사자와 기업간 업무 성향 fit은 높은 편입니다.",workstyle
