iteration,response,type
1,"기업은 '전문성', '성과', '사회공헌'을 중요하게 여기며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'에 대한 관심도 적절합니다. 그러나 '전문성'에 대한 관심이 기업보다 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 '혁신'과 '창조'에 대한 높은 관심을 통해 기업에 추가적인 가치를 제공할 가능성이 큽니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
2,"기업은 '전문성', '성과', '사회공헌'을 중요시하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'에 대한 관심도도 적절합니다. 특히, '혁신'에 대한 높은 관심은 기업에 추가적인 가치를 제공할 가능성을 보여줍니다. 다만, '전문성'에 대한 관심이 기업에 비해 낮아 우려가 있을 수 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
3,"기업은 '전문성', '성과', '사회공헌'을 중요하게 생각하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대해 기업과 유사한 관심을 보이며, '혁신'에 대한 높은 관심은 기업에 추가적인 가치를 제공할 수 있습니다. 그러나 '전문성'에 대한 관심이 낮아 이 부분에서의 적응이 필요할 수 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
4,"기업은 '전문성', '성과', '사회공헌'을 중요하게 생각하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '혁신'과 '창조'에 대한 높은 관심은 기업에 추가적인 가치를 제공할 가능성을 보여줍니다. 그러나 '전문성'에 대한 피검사자의 점수가 기업의 기대에 비해 낮아 우려가 있을 수 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
5,"기업은 '전문성', '성과', '사회공헌'을 중요하게 생각하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '혁신'에 대한 높은 관심은 기업에 추가적인 가치를 제공할 가능성을 보여줍니다. 그러나 '전문성'에 대한 관심이 기업보다 낮아 이 부분에서의 적응이 필요할 수 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
6,"기업은 '전문성', '성과', '사회공헌'을 중시하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'에 대한 관심도 적절합니다. 그러나 '전문성'에 대한 관심이 다소 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 '혁신'과 '창조'에 대한 높은 관심을 통해 기업에 추가적인 가치를 제공할 가능성이 큽니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
7,"기업은 '전문성', '성과', '사회공헌'을 중요하게 생각하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '혁신'에 대한 높은 관심은 기업에 추가적인 가치를 제공할 수 있습니다. 그러나 '전문성'에 대한 피검사자의 관심이 기업의 기대보다 낮아 우려가 있을 수 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
8,"기업은 '전문성', '성과', '사회공헌'을 중시하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'에 대한 관심도 적당합니다. 그러나 '전문성'에 대한 관심이 낮아 우려가 있을 수 있습니다. 반면, 피검사자는 '혁신'과 '창조'에 대한 높은 관심을 통해 기업에 추가적인 가치를 제공할 가능성이 있습니다. 피검사자와 기업간 비전 fit은 보통입니다.",vision
9,"기업은 '전문성', '성과', '사회공헌'을 중시하며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'에 대한 관심도도 적절합니다. 그러나 '전문성'에 대한 관심이 다소 낮아 우려가 될 수 있습니다. 반면, 피검사자는 '혁신'과 '창조'에 대한 높은 관심을 통해 기업에 추가적인 가치를 제공할 가능성이 큽니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
10,"기업은 '전문성', '성과', '사회공헌'을 중요하게 여기며, 피검사자는 '창조', '열정', '혁신'에 높은 가치를 두고 있습니다. 피검사자는 '사회공헌'에 대한 관심이 기업과 유사하며, '성과'와 '전문성'에 대한 관심은 기업보다 낮습니다. 특히 '전문성'에서 차이가 있지만, 피검사자는 '혁신'과 '창조'에 대한 높은 관심으로 기업에 추가적인 가치를 제공할 수 있습니다. 피검사자와 기업간 비전 fit은 보통입니다.",vision
