iteration,response,type
1,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과', '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
2,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
3,"피검사자는 ""사회공헌"" 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, ""성과""와 ""상생""에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 ""전문성""에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
4,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
5,"피검사자는 '혁신' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '사회공헌', '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
6,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
7,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
8,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과', '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
9,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
10,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
11,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과', '상생', '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
12,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
13,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
14,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '상생'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
15,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
16,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
17,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과', '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
18,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
19,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '성과'와 '고객'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
20,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '고객'과 '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
21,"피검사자는 '사회공헌' 부문에서 기업 비전과 높은 수준으로 정렬된 모습을 보이며, '고객', '성장'에서도 보통 수준으로 정렬되는 것으로 보입니다. 하지만 '전문성'과 '성과'에서 차이를 드러내고 있습니다. 전반적으로 피검사자와 기업간 비전 fit은 보통입니다.",vision
