question,response_j,response_k,id_lst
"여자가 유니폼을 입었다.
     다음 원인에 적절한 답은 무엇일까요?",여자의 근무시간이 되었다.,여자의 퇴근시간이 되었다.,Hellaswag
"담배를 재떨이에 툭툭 털었다.
     다음 결과에 적절한 답은 무엇일까요?",담뱃재가 떨어졌다.,재떨이가 깨졌다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {매출,자전거,올리다}
1. 매출 분석을 위해 데이터를 수집했다.
2. 가격을 올리다 보니 고객이 줄었다.
3. 이 자전거는 올해 처음으로 십억 원의 매출을 올렸다.
4. 자전거 판매가 감소했다.",3. 이 자전거는 올해 처음으로 십억 원의 매출을 올렸다.,1. 매출 분석을 위해 데이터를 수집했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {사다,살다,양반,세상,주다,돈,벼슬}
1. 사람들은 힘들게 벼슬을 하러 세상 밖으로 나간다.
2. 벼슬을 돈 주고 살 수 있는 세상에서 양반이 살고 싶다.
3. 사다리를 타고 올라가면 새로운 세상을 볼 수 있다.
4. 양반들은 보통 많은 돈을 가지고 있었다.",2. 벼슬을 돈 주고 살 수 있는 세상에서 양반이 살고 싶다.,4. 양반들은 보통 많은 돈을 가지고 있었다.,Kocommon_Gen
"현금이 필요하다.
     다음 결과에 적절한 답은 무엇일까요?",은행에 갔다.,지갑을 샀다.,Hellaswag
"돋보기 안경을 착용했다.
     다음 결과에 적절한 답은 무엇일까요?",가까이 있는 것이 더 또렷하게 보인다.,멀리 있는 것이 더 또렷하게 보인다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {청취하다,라디오,회견,기자,안,차,우리}
1. 기자들이 회견에서 질문했다.
2. 우리 집 안에는 차가 없다.
3. 우리는 차 안에서 이번 기자 회견을 라디오로 청취했다.
4. 라디오에서 새로운 노래가 방송되었다.",3. 우리는 차 안에서 이번 기자 회견을 라디오로 청취했다.,1. 기자들이 회견에서 질문했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {원망하다,누구,가난하다,가족,우리}
1. 가족들과 함께 시간을 보내는 것은 행복하다.
2. 누구나 인생에서 어려운 시기를 겪을 수 있다.
3. 우리는 더 나은 미래를 위해 노력해야 한다.
4. 우리 가족은 상당히 가난하지만 누구도 원망하지 않았다.",4. 우리 가족은 상당히 가난하지만 누구도 원망하지 않았다.,1. 가족들과 함께 시간을 보내는 것은 행복하다.,Kocommon_Gen
"그녀가 든 가방이 너무 무거웠다.
     다음 결과에 적절한 답은 무엇일까요?",그녀는 어깨가 아팠다.,그녀의 가방에는 짐이 많이 들어 있었다.,Hellaswag
"새 기계를 공장에 배치했다.
     다음 결과에 적절한 답은 무엇일까요?",공장의 생산물 품질이 높아졌다.,공장의 생산물 품질이 낮아졌다.,Hellaswag
